time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
21/Oct/2021:10:02:50,17855988,3852726,30130882,2168764,3865724,4929060,1572605,20341639,3899082,1492115,5016029,3975430,3865724,2168764,3189505,3162755,3101029,4538968,1400683,2751556,1400683,3162755,4538968,1875723,1400683,5045610,4340420,1400683,1400683,1488090,4087082,3852726,4929060,2941217,5164623,1572605,20337543,4419818,1488090,2567408,2164662,1875954,1759606,2567408,3162755,1467204,4929060,2567408,1376101,1492115
21/Oct/2021:10:02:55,4030992,2206952,2469227,1875954,1875954,3852726,3901167,4538968,18971519,1492115,2567408,13057514,1400683,3852726,8405747,2168764,2168764,4929060,3857782,3857782,1572605,1400683,2205646,3162755,2751556,4340420,1488090,30130882,4929060,4213436,4030992,30130882,1395728,2696564,3189505,2164662,2718555,3672129,3672129,2567408,1875723,4457565,4262063,2147571,3162755,2712735,1875954,2696564,1395728,3852726
21/Oct/2021:10:03:00,4929060,4538968,4262063,5055217,1875954,1492115,1536185,4929060,4419848,2751556,3162755,5040266,8405747,2567408,2936356,17855988,1572605,3857782,3857782,2168764,1759606,4929060,1759215,1572605,8405747,3975430,17855988,2056171,4087082,8405747,1875954,20341639,3162755,4929060,5019747,3901167,2164662,3189505,1536185,4457565,2100364,3901167,1536185,2696564,2567408,1400683,1942169,2234678,5164623,4929060
21/Oct/2021:10:03:05,3162755,2696564,4929060,4087082,1875954,4878019,4419848,4030992,1572605,2936356,3189505,4030992,4473364,1875954,20345735,4929060,3162755,1759260,4457565,5040266,3899082,2164491,17864257,2567408,1875954,3857782,2168764,4929060,4457565,1400683,2089950,2567408,5250955,2751556,1875954,4419848,1875954,4387130,1488090,17882193,1759260,13190266,2567408,13091891,2479295,2941430,4929060,2567408,2168764,4340420
21/Oct/2021:10:03:10,20345735,1875723,1492115,5069727,3852726,1400683,1875954,17882193,1945786,20341639,3189505,2751556,20345735,2751556,20341639,4929060,2164662,2567408,4538968,4030992,1572605,2696564,4340420,3162755,2168764,4030992,1875954,1400683,17882193,2168764,4340420,20341639,3185780,4929060,3162755,1759260,4030992,3865724,4030992,1875954,1395728,2168764,2567408,1400683,4419818,2936356,17882193,8405747,4087082,1875723
21/Oct/2021:10:03:15,1495670,8405747,4538968,1572605,3241845,1572605,1492115,1759260,2920307,1536185,6959932,3101029,1572605,4457565,1875954,1400683,4154557,4030992,30130882,1400683,4878019,5040266,1400683,1875954,3162755,2751556,2567408,8405747,1492115,1875954,1400683,2164662,4878019,8405747,1400683,17868353,3672129,5164623,1467204,2696564,2147571,2696564,17882193,2567408,3162755,4457565,2155487,2100364,2696564,20345735
21/Oct/2021:10:03:20,3852726,2799885,8405747,1400683,4089619,2696564,2936356,2168764,1400683,30130882,20341639,1400683,2168764,3162755,1400683,2936356,3865724,2147571,1759260,2164662,2696564,1875723,1875954,1492115,13190266,1400683,3162755,1492115,1400683,1400683,1875954,4929060,4262063,3852726,1492115,2567408,2751556,17864257,1875954,3852726,1400683,1536185,1875954,17882193,3857782,1875723,4419848,1572605,8405747,8405747
21/Oct/2021:10:03:25,2197430,1400683,3189505,2718555,1400683,2718555,13091891,2168764,1759606,3189505,4878019,3865724,2168764,1400683,3189505,2164662,1875954,2168764,2168764,4437436,1400683,20341639,3162755,5016029,4340420,17831241,2751556,3162755,1400683,1400683,1376101,1759417,4929060,8405747,17868353,4030992,2751556,2430078,5016029,2011381,13190266,1400683,1400683,1492115,2712735,4340420,2751556,17855988,1759260,2696564
21/Oct/2021:10:03:30,1572605,3975430,1759187,2089950,2164662,2696564,1400683,2718555,3975430,1759260,8405747,2936356,19159764,2001044,3865724,4929060,3852726,1400683,2751556,17882193,4538968,1395728,3162755,4538968,4929060,13190266,2696564,4030992,4340420,4457565,8405747,2168764,4394266,4457565,18269818,4457565,1875954,2168764,4929060,1536185,1376101,2567408,20345735,4538968,1572605,8405747,8405747,1400683,2430078,20341639
21/Oct/2021:10:03:35,4929060,1400683,1400683,3975430,4929060,1376101,1875954,2164491,5250955,5031585,7172368,2751556,17864257,8405747,4929060,2567408,20345735,2751556,20345735,5026945,1875954,2696564,1875954,4929060,1400683,1400683,1758855,8405747,3899082,3101029,1400683,4929060,3852726,1395728,17942061,3926802,5016029,1875954,1395728,2100364,1400683,1376101,2168764,4030992,4030992,13190266,2718555,8405747,8405747,17855988
21/Oct/2021:10:03:40,2164662,4340420,1875954,3242037,17882193,1572605,1466905,4419848,1467204,1572605,2696564,6102224,1572605,4538968,1400683,2696564,19155668,1400683,3162755,4929060,2567408,4929060,2941217,20419101,4340420,1400683,2936356,2168764,5164623,1572605,17855988,17882193,20341639,3852726,1875954,2454558,4929060,17864257,17882193,17855988,1400683,1492115,2147571,1945786,2696564,3189505,2696564,3852726,2168764,2168764
21/Oct/2021:10:03:45,2147571,3176600,2751556,1759606,5163385,1467204,1759606,3162755,2936356,2567408,2567408,20345735,1492115,2147571,4030992,1759606,1759606,1759260,2168764,2718659,2696564,8405747,20345735,2029659,3162755,3865724,1759260,8405747,9063384,4340420,2751556,2696564,3189505,1572605,6000252,1875954,2567408,1759260,5016029,2696564,20341639,1759260,2751556,7172368,8336115,4340420,5196890,4419848,2164662,2164662
21/Oct/2021:10:03:50,5040266,13057514,2751556,2696564,1875954,4030992,5164623,1759260,1492115,2751556,2567408,1400683,2089950,1495670,8405747,4419848,5164623,1467204,2164491,2696564,2164662,5164623,13091891,1572605,2567408,2100364,2567408,17711824,2696564,1400683,2936356,2567408,3975430,4929060,2696564,4929060,2696564,1495670,2718555,1875954,2567408,20341639,17882193,2567408,20345735,2567408,1572605,1400683,2751556,3865724
21/Oct/2021:10:03:55,8405747,17882193,2567408,3189505,17855988,1875723,4929060,3162755,1400683,1400683,4030992,4538968,1875954,4030992,13190266,1495670,2168764,8405747,20345735,17855988,17864257,20341639,8405747,5040266,4457565,15226951,2696564,4538968,1759606,1572605,1875954,2936356,1875954,1400683,2567408,2567408,2567408,4538968,3162755,4929060,17855988,1875954,17855988,2197430,1875954,1395728,4538968,1400683,1875954,8405747
21/Oct/2021:10:04:00,3189505,13190266,2696564,1875954,1875954,13091891,4030992,1875954,7172368,1400683,1400683,4929060,4030992,1400683,2936356,1492115,1759260,17433860,3162755,1400683,1875954,1400683,4340420,20341639,2696564,1400683,1400683,1400683,1495670,1875723,2049435,1572605,1875954,1492115,8405747,3241845,3672129,8405747,2751556,20345735,3865724,2751556,2164662,4929060,3985247,2567408,3901167,7172368,4419848,4340420
21/Oct/2021:10:04:05,4030992,1875954,2718659,2164662,2567408,1572605,1572605,2696564,2164662,4538968,4419848,1759606,1492115,8405747,3857782,4929060,2049435,2168764,1572605,2479295,3852726,3189505,2696564,1875954,1491819,1400683,2479295,4457565,1759187,3189505,1400683,1467204,4929060,8405747,2164662,1400683,1572605,17855988,17882193,2751556,3189505,1875954,1875954,3975430,2168764,6102224,2567408,1875954,2696564,6011889
21/Oct/2021:10:04:10,2941217,5045610,4929060,8405747,1400683,2100364,1467204,1572605,6102224,13190266,2941217,2696564,17855988,5045610,1400683,5040266,2100364,2696564,1572605,2168764,1492115,1875954,1400683,17956901,17855988,4538968,4457565,2100364,2751556,2718555,1875954,4030992,17882193,3852726,2164662,20341639,3901167,3857782,3241845,17855988,4929060,2164662,1400683,2164662,4929060,8405747,4929060,2696564,4030992,3857782
21/Oct/2021:10:04:15,19159764,1759606,2696564,20341639,1759606,4929060,2936356,20337543,1495670,3899082,4457565,2936356,2147571,4929060,17882193,2100364,8405747,4538968,1875954,1400683,1572605,2751556,17868353,2751556,8405747,2168764,2100364,3189505,4340420,17882193,5250955,17855988,1759606,8405747,1875954,4929060,1875954,2567408,7172262,8405747,3852726,4387130,2164491,1875954,8405747,2206952,1572605,2696564,4929060,1875954
21/Oct/2021:10:04:20,4340420,13057514,3162755,4538968,4538968,2164662,1492115,4087082,1875954,4929060,17868353,20341639,4030992,1492115,8405747,1875954,1400683,4929060,5164623,2696564,1875954,2168764,17864257,1572605,4929060,2567408,4538968,8405747,3241869,1495670,2100364,1400683,4878019,4087082,4340420,1400683,2696564,1759606,1492115,8405747,4030992,3852726,13190266,1400683,6011889,5250955,3102173,4030992,2718555,1759260
21/Oct/2021:10:04:25,2696564,2164662,4419848,2168764,20341639,8405747,2430078,13091891,5250955,3899082,4457565,1759606,2751556,13091891,1572605,17711824,5164623,3852726,4929060,2751556,8405747,4929060,8405747,3162755,1495670,2567408,20505561,1875954,2696564,4929060,2567408,4929060,4087082,3857782,6102224,4538968,5774800,2936356,1492115,6102224,3865724,4538968,1759606,2567408,2206952,3189505,2164662,2168764,2567408,2567408
21/Oct/2021:10:04:30,2696564,4878019,1875954,2089950,2567408,2164662,1495670,3857782,20341639,1875954,2751556,1395728,1875723,2168764,1492115,20341639,1875954,1759260,2567408,2941217,17864257,1467192,3852726,4538968,13190266,30130882,2164662,5040266,4340420,1875954,1492115,1572605,1495670,8405747,2737574,4030992,8405747,1876174,13091891,20337543,3852726,1875954,7172368,1395728,4929060,8405747,4457565,2089950,1572605,1759260
21/Oct/2021:10:04:35,4929060,2696564,2751556,4340420,4530776,8405747,4340420,2168764,1400683,8405747,2936356,1572605,20341639,2029247,1875954,13057514,2479295,4457565,2696564,17855988,4878019,2164662,3865724,4530776,1875723,3852726,7172368,1492115,2696564,4929060,1875954,2936356,2168764,5164623,17882193,8405747,20325178,3975430,2751556,1400683,2696564,2712735,2696564,3101029,1495670,4030992,4929060,4030992,3857782,2087785
21/Oct/2021:10:04:40,3176600,4929060,2439635,1376101,5164623,20345735,1495670,2168764,1759260,4929060,2164662,4929060,1875954,2164662,3189505,1572605,17855988,3189505,7172368,1572605,4030992,2395265,4340420,20421805,2164662,4087082,3189505,2696564,9063384,1875723,1759260,13057514,2751556,6102224,20345735,3852726,1572605,4888044,20341639,1467204,7172368,2696564,8405747,6122917,1875954,8405747,2751556,1492115,4030992,3865724
21/Oct/2021:10:04:45,3899082,2696564,8405747,2751556,1875954,1400683,1759606,20337543,20345735,1466905,2567408,2696564,3865724,2100364,2751556,2147571,1400683,1572605,8405747,3857782,17878186,8405747,4929060,3241845,4929060,1572605,1400683,1875954,3189505,3189505,1875954,3857782,4030992,17855988,2567408,4030992,4929060,4565911,8405747,17855988,2164662,17711824,5040266,17855988,4030992,13190266,1400683,2751556,2100364,4929060
21/Oct/2021:10:04:50,4087082,2567408,1395728,2567408,1759215,13190266,2751556,3975430,4457565,2696564,2164662,2696564,4030992,4030992,5164623,4929060,4538968,1400683,2696564,3857782,2056171,8405747,2696564,1759260,2696564,1395728,3162755,3242037,4929060,3189505,1395728,8405747,8405747,4457565,3865724,4089424,2751556,20870009,2147571,1491819,6102224,2164662,4340420,2168764,1400683,3162755,3865724,1400683,4030992,4929060
21/Oct/2021:10:04:55,1492115,1376101,4419848,3162755,2696564,20341639,3101029,3189505,1376101,4030992,17711824,6968607,1875954,3189505,4538968,4457565,8405747,2941217,5019747,4457565,2168764,3857782,3975430,17868353,4340420,3162755,3975430,8405747,3242037,3975430,2567408,2696564,5164623,4087082,2168764,3857782,2567408,1572605,2941217,4457565,1400683,2567408,2696564,4929060,8405747,2696564,4929060,4929060,2696564,5040266
21/Oct/2021:10:05:00,3189505,2168764,4030992,1536185,5163385,1875954,3095939,2696564,3852726,2164662,1395728,20341639,8405747,17855988,2100364,3162755,3162755,4030992,2936356,3162960,2751556,1491819,3857782,17882193,2164662,2168764,2696564,3189505,2164662,2168764,4929060,2147571,2712735,2718659,3857782,4538968,5040266,3162755,1572605,2936356,2430078,4419818,4030992,2718659,1400683,3857782,1400683,13190266,2567408,1400775
21/Oct/2021:10:05:05,2718555,4929060,5208992,4087082,2168764,17855988,2164662,2936356,4929060,2164662,1536185,4538968,1536185,1875954,1395728,2718659,1492115,2751556,2567408,2737574,2168764,4087082,2567408,4030992,20345735,4340420,2751556,2696564,3857782,1467192,4340420,2936356,20341639,17882193,2799885,1875954,17855988,3852726,3865724,17831241,1400683,5163385,1572605,3162755,1467204,5164623,20345735,3852726,17831241,4538968
21/Oct/2021:10:05:10,1400683,1536185,2439635,5040266,8405747,2941430,4340420,17882193,3975430,2168764,1759606,8405747,2718555,2751556,6102224,3241845,2164662,3857782,2167885,17864257,4116098,1467204,3672129,4457565,4087082,1395728,1758855,5250955,4929060,17855988,2168764,1759260,2712735,20345735,7172368,2751556,7172368,2164662,8405747,4929060,3852726,4215517,1376101,2567408,4030992,1572605,17882193,3189505,2469227,6968607
